Designator,Val,Package,Mid X,Mid Y,Rotation,Side
"C1","10n","C_0603_1608Metric",115.062000,-43.942000,0.000000,top
"C2","100n","C_0603_1608Metric",105.740200,-70.002400,-90.000000,top
"C3","22u","C_1206_3216Metric",121.239280,-73.914000,180.000000,top
"C4","22u","C_1206_3216Metric",121.254520,-76.464160,180.000000,top
"C5","22u","C_1206_3216Metric",121.257060,-78.999080,180.000000,top
"C6","22u","C_1206_3216Metric",121.231660,-81.551780,180.000000,top
"C7","10u","C_1206_3216Metric",96.647000,-89.154000,0.000000,top
"C8","10u","C_1206_3216Metric",96.583500,-86.741000,0.000000,top
"C9","220u","CP_Elec_10x10.5",98.298000,-66.243200,0.000000,top
"C10","10u","C_1206_3216Metric",99.745800,-74.206100,90.000000,top
"C11","10u","C_1206_3216Metric",102.108000,-74.206100,90.000000,top
"C12","100n","C_0603_1608Metric",104.521000,-74.485500,90.000000,top
"C13","1n","C_0805_2012Metric",115.951000,-77.216000,0.000000,top
"C14","10p","C_0805_2012Metric",110.744000,-81.117440,-90.000000,top
"C15","10n","C_0603_1608Metric",108.066840,-81.015840,-90.000000,top
"C16","100n","C_0603_1608Metric",107.861100,-89.608660,180.000000,top
"C17","22u","C_1206_3216Metric",122.077480,-94.335600,180.000000,top
"C18","22u","C_1206_3216Metric",122.095260,-97.017840,180.000000,top
"C19","22u","C_1206_3216Metric",122.112300,-99.689920,180.000000,top
"C20","22u","C_1206_3216Metric",122.110500,-102.306120,180.000000,top
"C21","10u","C_1206_3216Metric",102.997000,-88.265000,180.000000,top
"C22","10u","C_1206_3216Metric",106.426000,-85.852000,0.000000,top
"C23","100n","C_0603_1608Metric",105.918000,-83.820000,0.000000,top
"C24","1n","C_0805_2012Metric",116.814600,-97.891600,0.000000,top
"C25","10p","C_0805_2012Metric",110.490000,-101.981000,-90.000000,top
"C26","10n","C_0603_1608Metric",108.574840,-102.108000,-90.000000,top
"C27","100n","C_0603_1608Metric",148.590000,-75.590400,180.000000,top
"C28","22u","C_1206_3216Metric",134.874000,-93.469460,-90.000000,top
"C29","22u","C_1206_3216Metric",137.287000,-93.472000,-90.000000,top
"C30","22u","C_1206_3216Metric",139.700000,-93.477080,-90.000000,top
"C31","22u","C_1206_3216Metric",142.113000,-93.472000,-90.000000,top
"C32","10u","C_1206_3216Metric",144.513300,-73.682860,0.000000,top
"C33","10u","C_1206_3216Metric",144.541240,-71.231760,0.000000,top
"C34","100n","C_0603_1608Metric",144.002760,-69.016880,0.000000,top
"C35","2n2","C_0805_2012Metric",140.223240,-85.491320,-90.000000,top
"C36","10p","C_0805_2012Metric",137.033000,-79.644240,180.000000,top
"C37","10n","C_0603_1608Metric",137.038080,-77.282040,180.000000,top
"C38","100n","C_0603_1608Metric",126.251000,-106.426000,180.000000,top
"C39","1u","C_0805_2012Metric",159.542480,-74.295000,90.000000,top
"C40","100n","C_0603_1608Metric",170.180000,-60.858400,90.000000,top
"C41","1u","C_0805_2012Metric",148.107000,-101.826000,-90.000000,top
"C42","22u","C_1206_3216Metric",150.582000,-101.596000,-90.000000,top
"C43","100n","C_0603_1608Metric",96.393000,-84.709000,0.000000,top
"C44","100n","C_0603_1608Metric",135.686800,-116.484400,90.000000,top
"C45","10p","C_1206_0805_WIDE",110.871000,-51.562000,90.000000,top
"C46","10p","C_1206_0805_WIDE",102.616000,-53.594000,-90.000000,top
"C47","5p6","C_1206_0805_WIDE",145.796000,-52.082700,-90.000000,top
"C48","100n","C_0603_1608Metric",162.052000,-81.267000,90.000000,top
"C49","100n","C_0603_1608Metric",179.578000,-81.534000,0.000000,top
"C50","100n","C_0603_1608Metric",159.372600,-86.143800,180.000000,top
"C51","100n","C_0603_1608Metric",159.372600,-84.365800,180.000000,top
"C52","10u","C_1206_3216Metric",178.866800,-79.552800,0.000000,top
"C53","100n","C_0603_1608Metric",156.337000,-95.758000,0.000000,top
"C54","100n","C_0603_1608Metric",185.216800,-79.552800,180.000000,top
"C55","4p3","C_0603_1608Metric",176.276000,-85.926000,90.000000,top
"C56","4p3","C_0603_1608Metric",177.038000,-83.566000,0.000000,top
"C57","100n","C_0603_1608Metric",126.426000,-68.834000,180.000000,top
"C58","22u","C_1206_3216Metric",142.951200,-62.433200,0.000000,top
"C59","22u","C_1206_3216Metric",137.922000,-59.182000,180.000000,top
"C60","22u","C_1206_3216Metric",124.307600,-41.554400,90.000000,top
"C61","22u","C_1206_3216Metric",128.117600,-41.554400,90.000000,top
"C62","220u","CP_Elec_10x10.5",135.991600,-43.078400,0.000000,top
"C63","10p","C_0603_1608Metric",150.685500,-53.530500,0.000000,top
"C64","10n","C_0603_1608Metric",163.982400,-47.752000,90.000000,top
"C65","6p8","C_1206_0805_WIDE",107.696000,-53.555500,-90.000000,top
"C66","1u","C_0805_2012Metric",151.638000,-42.164000,0.000000,top
"C67","100n","C_0603_1608Metric",128.676400,-119.126000,0.000000,top
"C68","10p","C_0603_1608Metric",157.289500,-53.530500,0.000000,top
"C69","5p6","C_1206_0805_WIDE",109.258500,-47.752000,0.000000,top
"C70","100n","C_0603_1608Metric",184.232000,-102.216000,0.000000,top
"C71","1u","C_0805_2012Metric",121.158000,-41.910000,90.000000,top
"C72","1u","C_0805_2012Metric",141.579600,-101.142800,-90.000000,top
"C73","22u","C_1206_3216Metric",151.739600,-96.824800,-90.000000,top
"C74","22p","C_1206_3216Metric",156.718000,-116.332000,0.000000,top
"C75","22p","C_1206_3216Metric",155.194000,-122.682000,0.000000,top
"C76","470n","C_0805_2012Metric",146.761200,-123.875800,90.000000,top
"C77","100n","C_0603_1608Metric",139.573000,-118.465600,90.000000,top
"C78","100n","C_0603_1608Metric",141.224000,-118.465600,90.000000,top
"C79","100n","C_0603_1608Metric",163.776660,-71.396860,-90.000000,top
"C80","100n","C_0603_1608Metric",161.290000,-74.239120,90.000000,top
"C81","100p","C_0603_1608Metric",162.026600,-68.618100,-90.000000,top
"C82","1u","C_0805_2012Metric",152.651500,-78.206600,0.000000,top
"C83","1u","C_0805_2012Metric",159.359600,-79.857600,0.000000,top
"C84","22u","C_1206_3216Metric",159.310600,-77.622400,0.000000,top
"C85","1u","C_0805_2012Metric",152.593000,-82.296000,0.000000,top
"C86","1u","C_0805_2012Metric",152.908000,-85.090000,-90.000000,top
"C87","1u","C_0805_2012Metric",152.641300,-80.264000,0.000000,top
"C88","1u","C_0805_2012Metric",153.682700,-68.199000,0.000000,top
"C89","22u","C_1206_3216Metric",153.252700,-71.247000,0.000000,top
"C90","18p","C_0603_1608Metric",182.168800,-94.234000,180.000000,top
"C91","100p","C_0603_1608Metric",162.052000,-59.436000,90.000000,top
"C92","10p","C_0603_1608Metric",162.750800,-65.565020,180.000000,top
"C93","DNP","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",161.036000,-62.230000,180.000000,top
"C94","3p3","C_0603_1608Metric",169.938700,-66.103500,-90.000000,top
"C95","100p","C_0603_1608Metric",166.738300,-62.928500,-90.000000,top
"C96","3p3","C_0603_1608Metric",166.738300,-66.116200,90.000000,top
"C97","18p","C_0603_1608Metric",182.626000,-100.584000,0.000000,top
"C98","100p","C_0603_1608Metric",165.823600,-50.914300,180.000000,top
"C99","5p6","C_1206_0805_WIDE",105.156000,-53.555500,-90.000000,top
"C100","8p2","C_1206_0805_WIDE",116.078000,-51.600500,-90.000000,top
"C101","1u","C_0805_2012Metric",174.142400,-48.666400,180.000000,top
"C102","6p8","C_1206_0805_WIDE",113.347500,-51.562000,-90.000000,top
"C103","100n","C_0603_1608Metric",174.052000,-108.916000,-90.000000,top
"C105","100n","C_0603_1608Metric",156.082000,-101.396000,-90.000000,top
"C106","10n","C_0603_1608Metric",175.582000,-108.576000,-90.000000,top
"C107","100n","C_0603_1608Metric",168.882000,-92.176000,-90.000000,top
"C108","4u7","C_0805_2012Metric",171.020500,-111.252000,-90.000000,top
"C109","100n","C_0603_1608Metric",162.972000,-99.046000,180.000000,top
"C111","10u","C_1206_3216Metric",158.082000,-102.201000,-90.000000,top
"C112","10u","C_1206_3216Metric",166.420800,-94.945200,0.000000,top
"C113","10n","C_0603_1608Metric",174.882000,-113.576000,-90.000000,top
"C114","6.8n","C_0603_1608Metric",164.682000,-111.976000,90.000000,top
"C115","6.8n","C_0603_1608Metric",180.289200,-112.522000,90.000000,top
"C116","22n","C_0603_1608Metric",169.164000,-113.792000,180.000000,top
"D1","SS34","D_SMA",111.107220,-71.368920,180.000000,top
"D2","SS34","D_SMA",111.937800,-92.925900,180.000000,top
"D3","SS34","D_SMA",146.705320,-80.759300,90.000000,top
"D4","LED","LED_0805_2012Metric",130.048000,-95.821500,-90.000000,top
"D5","SMCJ28A","D_SMC",98.073000,-93.853000,0.000000,top
"D6","LED","LED_0805_2012Metric",140.106400,-128.193800,180.000000,top
"D7","TVS DIODE","D_SMB",125.116700,-109.778800,180.000000,top
"D8","TVS DIODE","D_SMC",132.842000,-71.374000,90.000000,top
"D9","LED","LED_0805_2012Metric",159.207200,-46.558200,-90.000000,top
"D10","BA591","D_SOD-323",110.744000,-44.958000,90.000000,top
"D13","LED","LED_0805_2012Metric",123.266200,-113.919000,-90.000000,top
"D14","BA591","D_SOD-323",148.082000,-52.578000,-90.000000,top
"D16","BAV99","SOT-23",153.987500,-54.530500,90.000000,top
"D17","LED","LED_0805_2012Metric",177.825400,-74.041000,180.000000,top
"D18","LED","LED_0805_2012Metric",163.576000,-89.484200,90.000000,top
"D19","TX_LED","LED_0805_2012Metric",177.850800,-71.932800,180.000000,top
"D23","3V3_LNA","LED_0805_2012Metric",158.496000,-66.979800,90.000000,top
"F1","5x20 fuse 6.3A","Fuseholder5x20_H_universal",94.996000,-122.682000,90.000000,top
"J1","PWR_TERM","TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",109.971200,-127.050800,0.000000,top
"J2","PWR_TERM","TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",127.406400,-127.050800,0.000000,top
"J3","GPIO_HEADER","PinHeader_1x06_P2.54mm_Vertical_SMD_Pin1Left",136.622600,-105.410000,180.000000,top
"J4","GPIOR_HEADER","PinHeader_1x06_P2.54mm_Vertical_SMD_Pin1Left",183.874600,-70.154800,0.000000,top
"J5","USB_B_Micro","USB_Micro-B_Amphenol_10118194_Horizontal",146.583400,-132.588000,0.000000,top
"J6","PROG_CONN","PinSocket_1x04_P2.54mm_Vertical",183.591200,-91.490800,180.000000,top
"J7","SMA_F","SMA_Amphenol_132134_Vertical",94.996000,-54.102000,90.000000,top
"J8","U.fl","U.FL_Hirose_U.FL-R-SMT-1_Vertical",157.167600,-59.688200,180.000000,top
"J9","HR911105A","HR911105a",168.148000,-127.254000,180.000000,top
"J10","Powerpole","PowerPole_PP45_1336G1_1x2_Horizontal",116.345000,-116.106200,180.000000,top
"L1","10u","L_Bourns_SRP7028A_7.3x6.6mm",119.245380,-68.834000,0.000000,top
"L2","470n","L_Bourns_SRP7028A_7.3x6.6mm",97.155000,-80.264000,0.000000,top
"L3","10u","L_Bourns_SRP7028A_7.3x6.6mm",119.819000,-88.900000,0.000000,top
"L4","10u","L_Bourns_SRP7028A_7.3x6.6mm",146.964400,-89.306400,-90.000000,top
"L5","GZ2012D101TF","L_0805_2012Metric",137.922000,-62.230000,0.000000,top
"L6","470n","L_Bourns_SRP7028A_7.3x6.6mm",126.492000,-62.738000,180.000000,top
"L7","GZ2012D101TF","L_0805_2012Metric",137.287000,-72.009000,90.000000,top
"L8","150n","L_0603_1608Metric",112.014000,-42.418000,180.000000,top
"L9","15n","L_0603_1608Metric",155.016100,-51.714400,0.000000,top
